algorithm,workers,dataset,n,wall_time_ns,speedup,efficiency,status
parallel_merge_sort,16,"Tuple: Sorted (n=20)",20,293432,0.330816,0.020676,"ok"
parallel_quick_sort,4,"Int: Duplicates (n=20)",20,105278,1.000000,0.250000,"ok"
parallel_quick_sort,8,"Int: Duplicates (n=20)",20,239310,0.439923,0.054990,"ok"
parallel_quick_sort,16,"Int: Duplicates (n=20)",20,281629,0.373818,0.023364,"ok"
parallel_quick_sort,4,"Int: Nearly Sorted (n=20)",20,89959,1.000000,0.250000,"ok"
parallel_quick_sort,8,"Int: Nearly Sorted (n=20)",20,188996,0.475984,0.059498,"ok"
parallel_quick_sort,16,"Int: Nearly Sorted (n=20)",20,271180,0.331732,0.020733,"ok"
parallel_quick_sort,4,"Int: Random (n=20)",20,81914,1.000000,0.250000,"ok"
parallel_quick_sort,8,"Int: Random (n=20)",20,176391,0.464389,0.058049,"ok"
parallel_quick_sort,16,"Int: Random (n=20)",20,280327,0.292209,0.018263,"ok"
parallel_quick_sort,4,"Int: Reverse (n=20)",20,78368,1.000000,0.250000,"ok"
parallel_quick_sort,8,"Int: Reverse (n=20)",20,181642,0.431442,0.053930,"ok"
parallel_quick_sort,16,"Int: Reverse (n=20)",20,273294,0.286753,0.017922,"ok"
parallel_quick_sort,4,"Int: Sorted (n=20)",20,81293,1.000000,0.250000,"ok"
parallel_quick_sort,8,"Int: Sorted (n=20)",20,194085,0.418853,0.052357,"ok"
parallel_quick_sort,16,"Int: Sorted (n=20)",20,296488,0.274186,0.017137,"ok"
parallel_quick_sort,4,"Str: Mixed Case (n=20)",20,97534,1.000000,0.250000,"ok"
